_source_file,ack_flag_cnt,ack_flag_count,active_max,active_mean,active_min,active_std,average_packet_size,avg_bwd_segment_size,avg_fwd_segment_size,bwd_avg_bulk_rate,bwd_avg_bytes_bulk,bwd_avg_packets_bulk,bwd_blk_rate_avg,bwd_byts_b_avg,bwd_header_len,bwd_header_length,bwd_iat_max,bwd_iat_mean,bwd_iat_min,bwd_iat_std,bwd_iat_tot,bwd_iat_total,bwd_packet_length_max,bwd_packet_length_mean,bwd_packet_length_min,bwd_packet_length_std,bwd_packets_s,bwd_pkt_len_max,bwd_pkt_len_mean,bwd_pkt_len_min,bwd_pkt_len_std,bwd_pkts_s,bwd_psh_flags,bwd_seg_size_avg,bwd_urg_flags,cwe_flag_count,down_up_ratio,dst_port,ece_flag_cnt,ece_flag_count,fin_flag_cnt,fin_flag_count,flow_bytes_s,flow_byts_s,flow_duration,flow_iat_max,flow_iat_mean,flow_iat_min,flow_iat_std,flow_packets_s,flow_pkts_s,fwd_act_data_pkts,fwd_avg_bulk_rate,fwd_avg_bytes_bulk,fwd_avg_packets_bulk,fwd_blk_rate_avg,fwd_byts_b_avg,fwd_header_len,fwd_header_length,fwd_header_length1,fwd_iat_max,fwd_iat_mean,fwd_iat_min,fwd_iat_std,fwd_iat_tot,fwd_iat_total,fwd_packet_length_max,fwd_packet_length_mean,fwd_packet_length_min,fwd_packet_length_std,fwd_packets_s,fwd_pkt_len_max,fwd_pkt_len_mean,fwd_pkt_len_min,fwd_pkt_len_std,fwd_pkts_b_avg,fwd_pkts_s,fwd_psh_flags,fwd_seg_size_avg,fwd_seg_size_min,fwd_urg_flags,idle_max,idle_mean,idle_min,idle_std,inbound,init_bwd_win_byts,init_fwd_win_byts,init_win_bytes_forward,label,max_packet_length,min_packet_length,packet_length_mean,packet_length_std,packet_length_variance,pkt_len_max,pkt_len_mean,pkt_len_min,pkt_len_std,pkt_len_var,pkt_size_avg,protocol,psh_flag_cnt,psh_flag_count,rst_flag_cnt,rst_flag_count,subflow_bwd_bytes,subflow_bwd_byts,subflow_bwd_packets,subflow_bwd_pkts,subflow_fwd_bytes,subflow_fwd_byts,subflow_fwd_packets,subflow_fwd_pkts,syn_flag_cnt,syn_flag_count,timestamp,tot_bwd_pkts,tot_fwd_pkts,total_backward_packets,total_fwd_packets,total_length_of_bwd_packets,total_length_of_fwd_packets,totlen_bwd_pkts,totlen_fwd_pkts,urg_flag_cnt,urg_flag_count
CICD_DOS.csv,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,8.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,100.0,100.0,100.0,0.0,1529.051988,0.0,100.0,0.0,0.0,1.0,53.0,0.0,,0.0,,,220183.0,654.0,654.0,654.0,654.0,0.0,,3058.0,0.0,,,,0.0,0.0,8.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,44.0,44.0,44.0,0.0,0.0,1529.051988,0.0,44.0,8.0,0.0,0.0,0.0,0.0,0.0,,-1.0,-1.0,,Infilteration,,,,,,100.0,62.66666667,44.0,32.33161507,1045.333333,94.0,17.0,0.0,,0.0,,,100.0,,1.0,,44.0,,1.0,0.0,,54.0,1.0,1.0,,,,,100.0,44.0,0.0,
CICD_DOS.csv,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,52.0,,104460.0,104460.0,104460.0,0.0,104460.0,,,,,,,0.0,0.0,0.0,0.0,19.138206558663388,0.0,0.0,0.0,0.0,1.0,3389.0,1.0,,0.0,,,0.0,104503.0,104006.0,34834.33333333333,43.0,59904.77303465337,,38.0,0.0,,,,0.0,0.0,52.0,,,104049.0,104049.0,104049.0,0.0,104049.0,,,,,,,0.0,0.0,0.0,0.0,0.0,19.138206558663388,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,64000.0,8192.0,,Benign,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,,1.0,,,0.0,,2.0,,0.0,,2.0,0.0,,34687.0,2.0,2.0,,,,,0.0,0.0,0.0,
CICD_DOS.csv,1.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,,0.0,,,0.0,1445.0,1445.0,1445.0,1445.0,0.0,,1384.0,0.0,,,,0.0,0.0,64.0,,,1445.0,1445.0,1445.0,0.0,1445.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1384.083045,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,,-1.0,225.0,,DoS,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,,203.0,0.0,2.0,,,,,0.0,0.0,0.0,
CICD_DOS.csv,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,92.0,,11373.0,6432.666667,19.0,5818.62203,19298.0,,,,,,,935.0,233.75,0.0,467.5,207.2216754,0.0,233.75,0.0,0.0,1.0,80.0,1.0,,0.0,,,62321.0,19303.0,11045.0,3217.166667,3.0,4949.786113,,362.0,1.0,,,,0.0,0.0,72.0,,,11045.0,5687.5,330.0,7576.64916,11375.0,,,,,,,268.0,89.33333333,0.0,154.7298721,0.0,155.4162565,0.0,89.33333333,20.0,0.0,0.0,0.0,0.0,0.0,,219.0,65535.0,,DDoS,,,,,,935.0,150.375,0.0,330.6158485,109306.8393,171.8571429,6.0,1.0,,1.0,,,935.0,,4.0,,268.0,,3.0,0.0,,170.0,4.0,3.0,,,,,935.0,268.0,0.0,
CICD_DOS.csv,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,8.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,60.0,60.0,60.0,0.0,4761.904762,0.0,60.0,0.0,0.0,1.0,53.0,0.0,,0.0,,,495238.0,210.0,210.0,210.0,210.0,0.0,,9523.0,0.0,,,,0.0,0.0,8.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,44.0,44.0,44.0,0.0,0.0,4761.904762,0.0,44.0,8.0,0.0,0.0,0.0,0.0,0.0,,-1.0,-1.0,,Infilteration,,,,,,60.0,49.33333333,44.0,9.237604307,85.33333333,74.0,17.0,0.0,,0.0,,,60.0,,1.0,,44.0,,1.0,0.0,,567.0,1.0,1.0,,,,,60.0,44.0,0.0,
CICD_DOS.csv,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,8.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,98.0,98.0,98.0,0.0,3164.5569620253,0.0,98.0,0.0,0.0,1.0,53.0,0.0,,0.0,,,417721.0,316.0,316.0,316.0,316.0,0.0,,6329.0,0.0,,,,0.0,0.0,8.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,34.0,34.0,34.0,0.0,0.0,3164.5569620253,0.0,34.0,8.0,0.0,0.0,0.0,0.0,0.0,,-1.0,-1.0,,Benign,,,,,,98.0,55.3333333333,34.0,36.9504172281,1365.3333333333,83.0,17.0,0.0,,0.0,,,98.0,,1.0,,34.0,,1.0,0.0,,11118.0,1.0,1.0,,,,,98.0,34.0,0.0,
CICD_DOS_2019.csv,,1.0,102.0,93.0,79.0,12.288205727444508,6.375,6.0,6.0,0.0,0.0,0.0,,,,120.0,1.9804392E7,5516667.0,1.0,8668290.110189004,,2.7583335E7,6.0,6.0,6.0,0.0,0.1224491820078314,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,1.959186912125304,,4.8999919E7,2.1416486E7,3266661.266666666,0.0,6417592.322353628,0.3265311520208839,,,0.0,0.0,0.0,,,,200.0,200.0,2.1416564E7,5444435.444444444,0.0,7663976.681100895,,4.8999919E7,6.0,6.0,6.0,0.0,0.2040819700130524,,,,,,,0.0,,,0.0,2.1416486E7,1.224990975E7,6632495.0,6743437.771575238,1.0,,,5840.0,Syn,6.0,6.0,6.0,0.0,0.0,,,,,,,6.0,,0.0,,0.0,36.0,,6.0,,60.0,,10.0,,,0.0,,,,6.0,10.0,36.0,60.0,,,,0.0
CICD_DOS_2019.csv,,1.0,102.0,38.0,1.0,48.076328201447886,6.5,6.0,6.0,0.0,0.0,0.0,,,,40.0,1.0,1.0,1.0,0.0,,1.0,6.0,6.0,6.0,0.0,0.0314533869376631,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,1.1323219297558744,,6.3586157E7,2.3748587E7,5780559.727272728,1.0,8843965.373108378,0.188720321625979,,,0.0,0.0,0.0,,,,200.0,200.0,2.3748587E7,7065128.555555556,1.0,9357331.44787992,,6.3586157E7,6.0,6.0,6.0,0.0,0.1572669346883158,,,,,,,0.0,,,0.0,2.3748587E7,1.5896501E7,7172119.0,6805043.164061391,1.0,,,5840.0,Syn,6.0,6.0,6.0,0.0,0.0,,,,,,,6.0,,0.0,,0.0,12.0,,2.0,,60.0,,10.0,,,0.0,,,,2.0,10.0,12.0,60.0,,,,0.0
CICD_DOS.csv,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,20.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,37037.03704,0.0,0.0,0.0,0.0,1.0,21.0,0.0,,0.0,,,0.0,27.0,27.0,27.0,27.0,0.0,,74074.0,0.0,,,,0.0,0.0,40.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,37037.03704,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,,0.0,26883.0,,DoS,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,,0.0,,,0.0,,1.0,,0.0,,1.0,0.0,,1125.0,1.0,1.0,,,,,0.0,0.0,0.0,
CICD_DOS_2019.csv,,1.0,101.0,43.14285714285714,1.0,42.215433873677725,6.25,6.0,6.0,0.0,0.0,0.0,,,,160.0,8472682.0,2961360.571428572,0.0,3808578.936409434,,2.0729524E7,6.0,6.0,6.0,0.0,0.1154770147621196,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,2.0785862657181537,,6.9277856E7,1.891696E7,3012080.695652173,0.0,5247883.0355635565,0.3464310442863589,,,0.0,0.0,0.0,,,,320.0,320.0,1.891696E7,4618523.733333333,0.0,5943779.73216778,,6.9277856E7,6.0,6.0,6.0,0.0,0.2309540295242393,,,,,,,0.0,,,0.0,1.891696E7,9896793.285714284,5257158.0,4635568.1258918615,1.0,,,5840.0,Syn,6.0,6.0,6.0,0.0,0.0,,,,,,,6.0,,0.0,,0.0,48.0,,8.0,,96.0,,16.0,,,0.0,,,,8.0,16.0,48.0,96.0,,,,0.0
